"id","property_type","city","price","sq_m_built","n_bedrooms","bathrooms","floor","year_built","exterior","parking","log_price","city-neighborhood"
81247994,House,Barcelona,10000000,900,7,8,0,2007,False,False,16,Barcelona - Les Corts
101491602,Flat / apartment,Barcelona,1250000,188,4,4,3,1979,True,True,14,Barcelona - Pedralbes
103706349,Flat / apartment,Barcelona,690000,90,2,1,1,1965,True,False,13,Barcelona - Pedralbes
103925574,Penthouse,Barcelona,2700000,239,6,4,5,1970,True,True,14,Barcelona - Les Corts
101164764,Flat / apartment,Barcelona,490000,85,2,2,4,1952,True,False,13,Barcelona - Les Corts
102163137,Flat / apartment,Barcelona,265000,83,3,1,1,1961,True,False,12,Barcelona - Navas
96428430,Duplex,Barcelona,820000,330,3,3,0,1951,False,False,13,Barcelona - Sant Andreu
103423671,Flat / apartment,Barcelona,280000,65,3,1,4,1975,True,False,12,Barcelona - El Poblenou
102403200,Flat / apartment,Barcelona,535000,62,1,1,0,1971,True,False,13,Barcelona - Sant Martí
103488192,Penthouse,Barcelona,850000,112,3,2,0,1971,True,False,13,Barcelona - Sant Martí
103891201,Flat / apartment,Barcelona,530000,75,2,2,1,1900,True,False,13,Barcelona - El Poblenou
104151943,Flat / apartment,Barcelona,289000,69,2,1,1,1969,True,True,12,Barcelona - La Bordeta
104014407,Flat / apartment,Barcelona,298000,69,2,1,1,1969,True,True,12,Barcelona - La Bordeta
103957917,Flat / apartment,Barcelona,278000,70,3,1,2,1969,False,False,12,Barcelona - La Bordeta
104025677,Flat / apartment,Barcelona,289000,69,2,1,1,1969,False,True,12,Barcelona - La Bordeta
103824157,Flat / apartment,Barcelona,580000,150,5,2,7,1980,True,False,13,Barcelona - La Bordeta
94143115,Flat / apartment,Barcelona,212750,97,2,1,0,1969,False,False,12,Barcelona - La Bordeta
104078609,Flat / apartment,Barcelona,469200,129,4,2,1,2002,True,False,13,Barcelona - La Bordeta
103257053,Flat / apartment,Barcelona,470000,53,1,1,0,1965,False,False,13,Barcelona - Sant Gervasi - Galvany
104167913,Flat / apartment,Barcelona,1280000,212,5,5,2,1977,True,True,14,Barcelona - Sarrià-Sant Gervasi
100502502,Flat / apartment,Barcelona,2350000,410,6,4,5,1965,True,True,14,Barcelona - Sant Gervasi - Galvany
103865352,Flat / apartment,Barcelona,470000,61,1,1,1,1931,True,False,13,Barcelona - Sant Gervasi - Galvany
103079218,Flat / apartment,Barcelona,375000,55,1,1,1,1975,True,False,12,Barcelona - Sant Gervasi - Galvany
103229763,Penthouse,Barcelona,1600000,195,4,3,5,1965,True,False,14,Barcelona - Sant Gervasi - Galvany
103622070,Flat / apartment,Barcelona,1600000,239,5,5,2,1977,True,True,14,Barcelona - Les Tres Torres
100739897,Flat / apartment,Barcelona,1290000,202,4,3,3,1973,True,True,14,Barcelona - Sarrià-Sant Gervasi
101143013,Flat / apartment,Barcelona,1590000,264,5,5,2,1977,True,True,14,Barcelona - Les Tres Torres
99954144,Flat / apartment,Barcelona,1750000,372,6,5,3,1979,True,True,14,Barcelona - Les Tres Torres
104173446,Flat / apartment,Barcelona,1475000,192,4,3,5,1960,True,True,14,Barcelona - Sarrià-Sant Gervasi
101952462,Flat / apartment,Barcelona,1100000,215,5,3,1,1966,True,True,13,Barcelona - Les Tres Torres
103169674,Detached house,Barcelona,1900000,250,4,4,1,1970,False,True,14,Barcelona - Sarrià-Sant Gervasi
103878594,Penthouse,Barcelona,1250000,225,5,2,5,1973,True,True,14,Barcelona - Sarrià-Sant Gervasi
104110994,Flat / apartment,Barcelona,333000,106,4,2,5,1973,True,False,12,Barcelona - Can Baró
104010466,Flat / apartment,Barcelona,300000,84,4,1,1,1978,True,False,12,Barcelona - Can Baró
103998882,Flat / apartment,Barcelona,300000,84,4,1,1,1978,False,False,12,Barcelona - Can Baró
104398630,Flat / apartment,Barcelona,99000,70,3,1,2,1970,True,False,11,Barcelona - La Trinitat Vella
99953574,Flat / apartment,Barcelona,88000,58,3,1,2,1969,False,False,11,Barcelona - Sant Andreu
99058308,Flat / apartment,Barcelona,95000,117,1,1,0,1970,False,False,11,Barcelona - La Trinitat Vella
102777322,Studio flat,Barcelona,66400,58,0,1,0,1969,False,False,11,Barcelona - Sant Andreu
101574222,Flat / apartment,Hospitalet de Llobregat,113000,55,3,1,3,1965,True,False,11,Hospitalet de Llobregat - Pubilla Cases
103235052,Flat / apartment,Hospitalet de Llobregat,234000,57,1,1,0,1933,True,False,12,Hospitalet de Llobregat - La Torrasa
102208901,Flat / apartment,Hospitalet de Llobregat,395000,156,4,2,1,1978,True,False,12,Hospitalet de Llobregat - Collblanc
